#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NC_009657.1          -         result               -          cm        1      295        1      293      +    no    1 0.42   0.0  267.3   1.9e-67 !   Scotophilus bat coronavirus 512, complete genome
MH052683.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  242.3   8.9e-61 !   Porcine epidemic diarrhea virus isolate KNU-1704, complete genome
MK796238.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  242.3   9.5e-61 !   Porcine epidemic diarrhea virus strain MK796238, complete genome
KP728470.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  242.3   9.5e-61 !   Porcine epidemic diarrhea virus strain SQ2014, complete genome
KJ158152.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  242.3   9.5e-61 !   Porcine epidemic diarrhea virus strain AH-M, complete genome
KT323979.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  242.2     1e-60 !   Porcine epidemic diarrhea virus strain CV777, complete genome
KT941120.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  242.1   1.1e-60 !   Porcine epidemic diarrhea virus strain HUA-14PED96, complete genome
MH056657.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  242.1   1.1e-60 !   Porcine epidemic diarrhea virus strain JSX2014/ATT, complete genome
KX580958.1           -         result               -          cm        1      295        1      293      +    no    1 0.46   0.0  241.9   1.2e-60 !   Porcine epidemic diarrhea virus strain PC22A-P140.BI, complete genome
MK138516.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.7   1.3e-60 !   Porcine epidemic diarrhea virus strain V7-HB2018, complete genome
MH061336.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.7   1.3e-60 !   Porcine epidemic diarrhea virus strain CH/SCGA/2017, complete genome
KX812523.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.7   1.3e-60 !   Porcine epidemic diarrhea virus isolate XM1-2, complete genome
KC109141.1           -         result               -          cm        1      295        1      292      +    no    1 0.44   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate JS2008, complete genome
KC210146.1           -         result               -          cm        1      295        1      292      +    no    1 0.44   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus strain JS2008, complete genome
LT900498.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate PEDV_GER_L00907-K16_14-02_2014 genome assembly, complete genome: monopartite
LT898446.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate PEDV_GER_L00933-K22_14-05_2014 genome assembly, complete genome: monopartite
LT898430.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate PEDV_GER_L00906-K16_14-01_2014 genome assembly, complete genome: monopartite
LT898410.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate PEDV_GER_L00908-K16_14-03_2014 genome assembly, complete genome: monopartite
MH726380.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate GDS27, complete genome
MK559456.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate Aram-P29-CA, complete genome
MK559455.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate Aram-P5, complete genome
MK559454.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate Aram-feces, complete genome
MH891588.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate Y178, complete genome
MK140811.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate CH/TP-2-2/2018, complete genome
LT900501.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate PEDV_GER_L00928-K20_14-03_2014 genome assembly, complete genome: monopartite
LT900500.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate PEDV_GER_L00799-K11_14-01_2014 genome assembly, complete genome: monopartite
LT898445.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate PEDV_GER_L00798-K11_14-02_2014 genome assembly, complete genome: monopartite
LT898444.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate PEDV_GER_L01420-K06_15-04_2015 genome assembly, complete genome: monopartite
LT898443.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate PEDV_GER_L01015-K01_15-05_2015 genome assembly, complete genome: monopartite
LT898441.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate PEDV_AUSTRIA_L01064-M10_15-03_2015 genome assembly, complete genome: monopartite
LT898440.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate PEDV_GER_L00931-K22_14-03_2014 genome assembly, complete genome: monopartite
LT898439.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate PEDV_GER_L01059-K07_15-01_2015 genome assembly, complete genome: monopartite
LT898438.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate PEDV_GER_L00932-K22_14-04_2014 genome assembly, complete genome: monopartite
LT898435.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate PEDV_ROMANIA_L01330-K25_15-02_2015 genome assembly, complete genome: monopartite
LT898433.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate PEDV_AUSTRIA_L01063-M10_15-02_2015 genome assembly, complete genome: monopartite
LT898432.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate PEDV_GER_L01011-K01_15-01_2015 genome assembly, complete genome: monopartite
LT898427.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate PEDV_GER_L00927-K20_14-02_2014 genome assembly, complete genome: monopartite
LT898425.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate PEDV_GER_L00998-K06_15-03_2015 genome assembly, complete genome: monopartite
LT898420.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate PEDV_GER_L01014-K01_15-04_2015 genome assembly, complete genome: monopartite
LT898418.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate PEDV_AUSTRIA_L01065-M10_15-04_2015 genome assembly, complete genome: monopartite
LT898415.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate PEDV_GER_L00926-K20_4-01_2014 genome assembly, complete genome: monopartite
LT898414.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate PEDV_GER_L01060-K07_15-02_2015 genome assembly, complete genome: monopartite
LT898413.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate PEDV_GER_L01020-K01_15-10_2015 genome assembly, complete genome: monopartite
LT898412.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate PEDV_GER_L01019-K01_15-09_2015 genome assembly, complete genome: monopartite
LT898411.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate PEDV_GER_L01018-K01_15-08_2015 genome assembly, complete genome: monopartite
LT898408.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate PEDV_GER_L01013-K01_15-03_2015 genome assembly, complete genome: monopartite
LT900499.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate PEDV/GER/L01061-K07_15-03/2015 genome assembly, complete genome: monopartite
KY963963.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate KNU-1601, complete genome
KY825243.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate KNU-141112-S DEL5/ORF3, complete genome
KY825242.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate KNU-141112-S DEL5, complete genome
KY825241.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate KNU-141112-S DEL2/ORF3, complete genome
KY825240.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate KNU-141112-S DEL2, complete genome
KY499262.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus strain PC22A, complete genome
KX683006.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus strain PC22A, complete genome
KR873435.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate KNU-141112-P10, complete genome
KR873434.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate KNU-141112-P5, complete genome
KR873431.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate KNU-141112-feces, complete genome
LM645057.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus L00721/GER/2014, complete genome
LM645058.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea GER/L00719/2014, complete genome
KM403155.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate KNU-1406-1, complete genome
KM189367.2           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate ON-018, complete genome
KJ662670.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus isolate KNU-1305, complete genome
KJ623926.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus strain K14JB01, complete genome
KF452323.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus strain USA/Indiana/17846/2013, complete genome
KF452322.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  241.6   1.4e-60 !   Porcine epidemic diarrhea virus strain USA/Iowa/16465/2013, complete genome
MH052687.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  241.1   1.9e-60 !   Porcine epidemic diarrhea virus isolate KNU-1708, complete genome
MK140814.1           -         result               -          cm        1      295        1      291      +    no    1 0.46   0.0  240.8   2.3e-60 !   Porcine epidemic diarrhea virus isolate CH/TP-4-4/2018, complete genome
MK140813.1           -         result               -          cm        1      295        1      291      +    no    1 0.46   0.0  240.8   2.3e-60 !   Porcine epidemic diarrhea virus isolate CH/TP-4-3/2018, complete genome
MF782687.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  240.6   2.7e-60 !   Porcine epidemic diarrhea virus strain NW8, complete genome
MF782686.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  240.6   2.7e-60 !   Porcine epidemic diarrhea virus strain NW17, complete genome
MK032692.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  240.6   2.7e-60 !   Porcine epidemic diarrhea virus isolate KNU-1818, complete genome
MH726364.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  240.5   2.8e-60 !   Porcine epidemic diarrhea virus isolate GDS17, complete genome
KM052365.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  240.4   2.9e-60 !   Porcine epidemic diarrhea virus strain NPL-PEDv/2013/p10.1, complete genome
MH726382.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  240.3   3.1e-60 !   Porcine epidemic diarrhea virus isolate GDS47, complete genome
MG781192.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  240.3   3.2e-60 !   Porcine epidemic diarrhea virus strain PPC 14, complete genome
KY420075.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  240.3   3.2e-60 !   Porcine epidemic diarrhea virus strain PEDV-SX, complete genome
KX534206.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  240.3   3.2e-60 !   Porcine epidemic diarrhea virus isolate JS-2/2015, complete genome
KX534205.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  240.3   3.2e-60 !   Porcine epidemic diarrhea virus isolate JSLS-1/2015, complete genome
KP162057.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  240.3   3.2e-60 !   Porcine epidemic diarrhea virus isolate SC1402, complete genome
JX560761.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  240.3   3.2e-60 !   Porcine epidemic diarrhea virus strain SD-M, complete genome
JQ023162.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  240.3   3.2e-60 !   Porcine epidemic diarrhea virus strain attenuated DR13, complete genome
JX489155.1           -         result               -          cm        1      295        1      292      +    no    1 0.47   0.0  240.2   3.3e-60 !   Porcine epidemic diarrhea virus strain LC, complete genome
MF807952.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  240.2   3.4e-60 !   Porcine epidemic diarrhea virus strain B5-HB2017, complete genome
KM242131.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  240.2   3.4e-60 !   Porcine epidemic diarrhea virus strain CH/GDZQ/2014, complete genome
MF807951.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  240.1   3.5e-60 !   Porcine epidemic diarrhea virus strain C3-HB2017, complete genome
KR818833.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  240.1   3.5e-60 !   Porcine epidemic diarrhea virus strain JSHA2013, complete genome
MH052688.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  240.1   3.6e-60 !   Porcine epidemic diarrhea virus isolate KNU-1709, complete genome
KC196276.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  240.0   3.7e-60 !   Porcine epidemic diarrhea virus strain CH/ZMDZY/11, complete genome
KF272920.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  240.0   3.7e-60 !   Porcine epidemic diarrhea virus strain USA/Colorado/2013, complete genome
MG546687.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  240.0   3.8e-60 !   Porcine epidemic diarrhea virus strain CH/BJ9/2015, complete genome
MH726381.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  240.0   3.9e-60 !   Porcine epidemic diarrhea virus isolate GDS43, complete genome
